AreaID(string),R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R1C8,R1C9,R1C10,R1C11,R1C12,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R2C8,R2C9,R2C10,R2C11,R2C12,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R3C8,R3C9,R3C10,R3C11,R3C12,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R4C7,R4C8,R4C9,R4C10,R4C11,R4C12,R5C1,R5C2,R5C3,R5C4,R5C5,R5C6,R5C7,R5C8,R5C9,R5C10,R5C11,R5C12,R6C1,R6C2,R6C3,R6C4,R6C5,R6C6,R6C7,R6C8,R6C9,R6C10,R6C11,R6C12,R7C1,R7C2,R7C3,R7C4,R7C5,R7C6,R7C7,R7C8,R7C9,R7C10,R7C11,R7C12,R8C1,R8C2,R8C3,R8C4,R8C5,R8C6,R8C7,R8C8,R8C9,R8C10,R8C11,R8C12,R9C1,R9C2,R9C3,R9C4,R9C5,R9C6,R9C7,R9C8,R9C9,R9C10,R9C11,R9C12,R10C1,R10C2,R10C3,R10C4,R10C5,R10C6,R10C7,R10C8,R10C9,R10C10,R10C11,R10C12,R11C1,R11C2,R11C3,R11C4,R11C5,R11C6,R11C7,R11C8,R11C9,R11C10,R11C11,R11C12,R12C1,R12C2,R12C3,R12C4,R12C5,R12C6,R12C7,R12C8,R12C9,R12C10,R12C11,R12C12,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12
43000,53567,0,115825,373,0,78,3,47,0,19,13679,0,8,3,7716,4497,92363,0,0,0,0,3,12,3,96788,497,944697,164127,25233,27253,8538,94036,45955,24224,382433,3990,1069,21,2816,177,3617,2340,10021,2415,603,2846,5989,0,5538,163,75610,2521,26120,26665,4277,6770,2513,6328,66171,651,20753,142,119001,25512,2853,12942,2518,21393,3079,4958,112234,715,3080,275,19032,10081,10311,42163,89192,22628,6054,21698,68972,2414,33889,5216,63741,30917,16224,61180,14137,56146,8805,21678,89972,4144,1269,26,19496,4625,5227,39414,16600,5816,53987,12056,83367,1949,0,0,0,0,0,0,0,0,0,0,0,11906,7007,218,87307,76887,33791,75775,53965,89135,40191,54141,269611,3331,4166,27,4926,7491,1769,5548,4872,2966,1812,410,14552,0,421759,10665,2470247,604508,348038,863370,1052520,555105,297365,500375,2948459,48281
44000,26999,2,71614,574,0,75,1,10,0,14,10546,0,5,146,763734,3330,109820,1,0,0,0,3,27,8,46611,2373,2274074,130102,29539,18726,8046,66116,9542,18147,228249,2081,501,71,10740,275,5720,1702,5547,2599,1009,2982,4513,0,2047,1388,121406,1829,33070,15382,3499,5860,2450,5842,48324,214,13399,583,132877,25026,7122,6209,1960,13708,2378,3598,74889,365,1494,1088,35708,7352,8256,19966,65365,23552,3839,8002,31359,790,12097,6879,133454,20675,13890,30377,9689,90507,6023,12635,45785,3425,759,260,19812,3979,5280,21844,15600,6180,45769,11092,41618,2736,0,0,0,0,0,0,0,0,0,0,0,8937,4660,1354,110397,47132,26659,51528,42176,54585,36062,40318,150820,2167,980,466,15178,6210,1348,3980,1910,4220,729,343,9825,12,210960,30039,5175444,471760,388776,577391,761763,512883,231941,365190,1801223,36239
45000,53211.73,0.15,218011.49,672.66,0,25.42,0.95,142.7,0,17.96,12343.34,0,15.36,1.63,8859.61,4583.19,5152.38,0,0,0.03,0,4.57,6.75,7.81,129745.01,347.97,542691.01,141588.36,11075.53,8350.89,7037.98,76469.92,8516.29,22957.86,250842.45,2211.21,830.08,15.57,2761.83,225.3,2034.5,1152.8,3263.74,2133.42,654.37,2296.24,3455.78,0,6836.73,85.98,55807.43,2519.13,20739.37,5356.47,3032.42,5270.39,2492.86,17165.86,46346.15,589.43,33529.99,80.19,81414.47,26614.76,2362.87,2679.76,1665.06,19826.75,2058.29,4533.98,82803.31,319.39,2550.59,180.53,12590,7077.45,3784.25,7751.98,38818.57,13310.86,2310.34,793.79,21461.66,564.14,35339.57,2640.1,50570.17,31542.65,7129.38,36887.76,9567.68,49309.84,7081,19411.09,63260.98,3138.51,1349.55,12.53,7113.62,3983.25,3432.91,7085.97,9081.41,4392.27,40793.13,13963.83,56550.57,2530.95,0,0,0,0,0,0,0,0,0,0,0,8473,6098.01,114.51,55563.81,41133.22,27845.18,18737.3,31123.13,75734.97,27310.54,41627.49,138718.57,1604.36,1511.17,33.78,8188.31,6427.7,1480.63,1655.32,1058.04,3180.68,612.66,424.76,9175.11,0,465123.01,5962.97,1648306.91,511371.16,198344.76,502189.66,616765.89,430100.81,224402.69,367394.47,1972028.71,34495.97
46000,82679.37,2.8,428818.07,873.08,0,110.09,2.35,37.71,0,19.94,17433.56,0,37.73,203,17243.72,5694.16,21552.32,2.41,0.65,2.27,0.05,5.11,34.58,6.06,163830.27,2453.7,614654.95,185063.92,12469.2,27057.93,10195.91,94640.76,12185.36,23861.66,353351.42,1582.9,984.27,75.6,3378.11,400.87,3345.82,2448.99,9558.51,3810.8,1301.06,4160.95,6989.69,0,3664.65,917.55,24924.8,1605.46,19587.98,12721.84,2342.66,4817.31,2520.52,5026.65,44467.64,99.64,37994.31,577.62,124492.84,36001.77,2563.16,8891.35,2586.83,21464.49,2989.98,4833,116024.35,344.81,3723.09,1070.5,14086.11,10662.16,4399.03,19557.14,83987.61,22927.02,3379.57,10434.89,33966.13,355.6,40144.39,11211.97,82814.6,38194.99,5913.14,59395.96,14984.7,75718.84,9914.04,20419,77691.93,2796.68,1922.06,341.29,12453.12,6217.76,4687.95,31411.53,18950.73,6554.27,68226.67,14886.15,61118.76,2074.07,0,0,0,0,0,0,0,0,0,0,0,6771.73,10450.12,1682.66,54255.06,75276.78,34685.4,68798.99,45564.47,81639.67,44585.27,47970.91,211617.82,1667.35,1618.67,590.83,17929.17,8677.4,1340.57,6393.1,2372.9,2769.65,1158.47,486.96,13498.35,0,597634.32,45192.97,2102827.34,719316.52,195747.81,914417.39,1010330.12,690845.16,312037.12,576477.05,2675895.15,29183.86
01100,717,0,40340,646,0,186,2,2,0,11,23519,0,1,0,1489,3303,25733,5,2,4,0,2,45,11,1877,274,192581,205270,8369,55230,18006,63865,40273,18091,493950,2860,20,11,755,435,3650,4908,11662,2686,1950,3933,9195,0,155,72,10052,3007,23875,39723,9478,6521,5323,6648,86955,291,671,74,37162,39758,2442,18677,4326,16995,10251,3892,160441,494,404,170,5549,12238,5467,78748,162725,16595,19446,8485,74879,1688,542,795,22098,30343,5740,94346,21518,32366,20863,13243,89552,4646,83,11,3146,5236,4497,63425,34002,4036,108898,11936,126735,3710,0,0,0,0,0,0,0,0,0,0,0,12114,548,111,19813,62739,38951,148042,102032,63962,128806,49863,381473,3112,32,32,1716,10474,1145,11555,5152,2893,1918,352,17329,0,13386,3012,535273,695641,209488,1721858,1692807,608492,757198,518550,3858266,49155
11100,942,0,17516,433,0,115,2,0,0,19,13818,0,0,0,2138,2119,13076,3,2,4,0,6,61,7,2470,15,328281,156399,7162,26672,14527,52539,14894,22327,306862,2134,6,0,250,73,838,512,1985,722,517,873,1487,0,213,2,12423,2291,20839,23770,9593,10934,2901,6422,52602,213,1152,3,52442,30980,3290,8683,3578,13290,4046,4304,99167,375,392,6,8281,10671,6511,43876,155248,19073,13991,12399,75807,1817,749,26,24866,24871,7409,47268,18847,29512,10482,16338,66876,3539,69,0,5337,4111,4594,31108,28708,3723,64289,13654,71745,2818,0,0,0,0,0,0,0,0,0,0,0,3930,437,2,27035,45483,32406,74130,90466,56344,69264,48338,288597,2284,57,2,2146,8032,1189,5680,4568,2658,1188,342,13779,0,15602,94,785877,522957,185431,799429,1333736,390393,371801,520793,2447904,32785
14100,1185,0,168357,1256,0,380,6,0,0,14,42853,0,0,0,749318,6869,421826,7,3,27,0,3,175,27,5079,7,1349375,380593,82696,73303,25526,191570,44888,28336,957773,7073,47,0,5348,807,21995,6715,29819,18984,3852,7175,19687,0,237,2,73305,5658,124876,74387,14646,62914,9296,11485,176968,743,1837,3,185067,74495,25454,22440,7395,36556,13289,6751,315602,1234,958,5,36429,24752,29878,97045,386013,114773,44189,14705,177891,5156,1303,20,113142,57650,53768,101922,31096,279221,32784,22754,192486,11593,178,0,23062,10919,16723,85048,49117,18560,194134,20669,269559,9262,0,0,0,0,0,0,0,0,0,0,0,30237,1029,2,111827,119404,85981,207098,158673,194775,243713,87830,978246,7769,116,1,14418,18608,4077,15566,11157,17376,3056,600,39251,0,33194,81,4409041,1306790,1339406,2613989,3842680,2075871,1484955,716435,8595905,122617
14130,282,0,57058,556,0,92,3,0,0,25,14837,0,0,0,978562,2562,290284,1,0,11,0,7,74,13,1799,3,2114073,186325,67483,19520,8307,75644,30235,20474,331568,3550,12,0,9107,395,14747,1782,12652,6212,1783,1533,7185,0,115,2,114246,3095,91586,18082,5313,20095,4243,4687,62262,358,653,1,121796,36850,18033,6186,2786,14954,9993,3235,110060,620,365,2,26739,10216,18207,21783,145944,34669,24832,8011,46649,1727,422,16,113793,27906,36733,29060,9671,158655,21766,12060,63666,5837,79,0,14221,4959,10974,22699,14973,6752,80613,10083,78313,4658,0,0,0,0,0,0,0,0,0,0,0,15211,498,0,108144,55913,55977,54628,55126,72667,174871,34793,260964,3910,25,1,6321,8960,2609,4149,2522,7343,1136,337,15487,0,10108,70,5041453,624089,916584,607151,1467499,802562,921179,305683,2575113,61682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33100,3194,0,34629,369,0,72,0,1,0,4,7128,0,0,0,5796,2007,15573,1,0,2,0,1,15,13,6252,36,391734,85650,11100,19027,7292,33542,12959,6310,161106,3297,98,2,2385,171,2154,828,4338,1133,658,1569,3195,0,239,10,25623,1266,11418,14809,4362,4232,2077,2574,31572,338,2287,10,61618,16566,2038,6467,2063,7268,3100,1491,52464,575,232,30,12559,5570,3132,25800,73776,8692,6838,3208,27501,1964,1457,106,19010,7580,2131,29751,8418,19780,6136,4803,24522,5301,123,2,6792,2173,2794,21738,14887,3029,55471,4565,53568,4319,0,0,0,0,0,0,0,0,0,0,0,14099,731,19,40565,28108,12614,48569,47881,32199,39291,18350,101278,3622,171,3,13881,2538,741,4894,1631,1716,4869,133,5900,34,32293,567,1052730,306253,116793,579066,616174,228918,253978,157887,1362128,57176
40130,814,0,64890,761,0,177,2,81,0,28,25522,0,0,0,1094,4466,89664,5,3,5,0,7,65,14,3376,419,242426,231786,21725,89551,22120,113098,47017,29557,520332,4134,31,19,920,658,6254,6568,11617,4396,2686,3729,10283,9,145,53,12780,3441,35375,41595,13046,12785,6185,8084,90515,423,938,83,42172,46225,6498,30754,5828,7927,12595,5737,170533,761,341,155,6295,14776,8447,102209,191934,27997,29210,12483,87033,2364,351,79,21688,22513,11432,56444,17805,120194,17863,13399,70224,5672,85,11,3965,6803,6269,74794,38258,12698,175318,15777,209136,5076,0,0,0,0,0,0,0,0,0,0,0,16581,613,316,28904,81431,34174,195921,129494,90085,176208,61519,459499,4517,69,12,2650,10914,1482,13602,6422,8247,3022,499,20735,0,15862,2440,720865,793513,354981,2086972,1806778,876290,924029,506530,4328136,67253
