AreaID(string),R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R1C8,R1C9,R1C10,R1C11,R1C12,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R2C8,R2C9,R2C10,R2C11,R2C12,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R3C8,R3C9,R3C10,R3C11,R3C12,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R4C7,R4C8,R4C9,R4C10,R4C11,R4C12,R5C1,R5C2,R5C3,R5C4,R5C5,R5C6,R5C7,R5C8,R5C9,R5C10,R5C11,R5C12,R6C1,R6C2,R6C3,R6C4,R6C5,R6C6,R6C7,R6C8,R6C9,R6C10,R6C11,R6C12,R7C1,R7C2,R7C3,R7C4,R7C5,R7C6,R7C7,R7C8,R7C9,R7C10,R7C11,R7C12,R8C1,R8C2,R8C3,R8C4,R8C5,R8C6,R8C7,R8C8,R8C9,R8C10,R8C11,R8C12,R9C1,R9C2,R9C3,R9C4,R9C5,R9C6,R9C7,R9C8,R9C9,R9C10,R9C11,R9C12,R10C1,R10C2,R10C3,R10C4,R10C5,R10C6,R10C7,R10C8,R10C9,R10C10,R10C11,R10C12,R11C1,R11C2,R11C3,R11C4,R11C5,R11C6,R11C7,R11C8,R11C9,R11C10,R11C11,R11C12,R12C1,R12C2,R12C3,R12C4,R12C5,R12C6,R12C7,R12C8,R12C9,R12C10,R12C11,R12C12,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12
33000,19689.8,0.2,114592.8,694.8,0,151.8,3.3,8.1,0,8.7,17206.2,0,3.6,10.5,1148138.3,3892.7,35956.9,3,0.8,3.3,0,2.2,36.8,16.7,43640.2,366.2,3705671.8,193205,20615.6,33090.2,12373.5,114312.1,15255.5,15530.4,367499.5,4358.9,266.9,11.2,9610.6,216,1840.5,1737.3,4644.4,2601.7,816.3,2013.8,3712,0,1538.3,152.4,203384.3,2808.2,15816.6,30116,4584.9,9502.7,3879.3,6422.9,71077.8,447.5,11605.6,94.1,289446.8,37594.1,3594,10561.7,3098.8,27613.2,3544.1,3706.6,116419.3,760.4,1338.1,243.7,62901,12136.6,3304.3,53008.6,108674.2,49316.7,10055.2,5551.4,64643.2,3617.6,13696.7,2483.1,222526.4,35282.5,6043,70727.7,16185.7,112275.5,10919.5,14536.6,76670.6,7597.2,644.6,25.2,37969.8,5178.9,3257.5,38502.8,21869.1,7891,72479.5,11347,73799.3,5710,0,0,0,0,0,0,0,0,0,0,0,18643.5,3991.5,201.6,206584.3,63863.7,16362.7,92487.6,59758.2,96538.4,57935.9,48206,240787.7,4686.9,727.6,27.3,20032.1,9649.5,818.2,7806.2,2810.9,7258.5,1084.8,166.1,14886.6,0,168463.1,8618.1,8718234.7,689651.5,434861.5,1170245,1249477.1,859956.8,401779.4,437495.8,3114487.7,77924.7
34000,19192,0,165081,977,0,185,2,44,0,51,28591,0,5,2,277040,9684,119176,6,3,7,0,18,85,24,33939,561,5350774,287677,34394,53809,22980,134587,23697,51065,621924,4961,144,9,8251,249,3452,2054,4217,2435,876,2291,4803,0,1096,111,158997,2927,34164,30193,6707,10126,3876,10031,84005,356,10109,156,387230,52299,8184,18480,4915,29573,5459,8282,196826,806,1553,393,81415,18319,11768,88034,170125,59866,14754,21952,107577,3177,9892,1925,226208,46150,16137,106584,28349,144316,15816,33568,119763,7417,581,28,39433,10254,5776,64836,39821,12033,122240,24396,122547,8099,0,0,0,0,0,0,0,0,0,0,0,15954,4138,255,284286,97995,47897,151812,117310,148593,90227,99979,440122,5269,774,89,33059,14739,2220,13215,5956,10147,1898,929,25559,0,171456,6697,10652888,1079958,472811,2165565,2174563,1249317,668164,887403,5278095,111246
35000,10394,1,82500,734,0,103,2,10,0,13,13746,0,6,82,729279,4667,172705,2,0,4,0,3,38,4,20861,1611,2901518,185168,52650,20573,9476,79661,9473,17927,314243,992,191,50,15271,400,8507,1882,6692,3376,1334,3669,5420,0,849,850,219907,2282,53579,18388,3861,6500,2673,5947,49003,99,5974,401,213398,35706,11354,6387,2210,16045,2170,3880,99014,173,899,787,45771,10868,12661,22239,77467,30268,4269,8502,43302,487,5266,4608,157656,28998,21453,29418,11379,117631,6199,13353,51548,1628,406,155,33178,5781,7268,23892,18267,7147,52712,11920,51563,1300,0,0,0,0,0,0,0,0,0,0,0,8485,2330,878,168462,67298,38107,57895,48221,68692,36823,50417,193036,1090,472,287,14501,9078,1845,4371,2178,6328,823,357,10915,0,100796,23856,6643798,664367,600183,647584,924422,660770,253402,402778,2404520,17211
36000,17169,0,62961,355,0,55,1,3,0,9,5654,0,7,8,9117,2046,80591,1,0,1,0,2,22,5,33475,197,612102,81299,15164,12332,5049,39905,6545,12241,135557,1353,357,8,4151,185,3930,1123,3562,1557,1014,2420,2877,0,1512,95,47870,1072,28767,10872,2297,2593,1580,4358,26738,140,10184,50,85239,16111,4541,3981,1180,10118,1459,2612,44590,237,976,116,15721,5065,6430,15958,42771,11520,2951,5837,25961,808,8606,642,41413,13070,9942,19021,6075,25314,3761,9019,25734,2183,518,18,20792,2581,3426,14360,9422,2533,30512,8028,25245,1777,0,0,0,0,0,0,0,0,0,0,0,5799,2756,108,83749,30607,22055,34338,25978,39713,22067,32615,95548,1491,565,31,5199,3902,924,2623,1123,2128,457,241,6309,0,146748,2625,1666719,294624,283620,372753,498778,268934,145059,270130,1109035,23521
37000,11548,0,86587,459,0,81,1,16,0,10,11536,0,2,0,262996,2887,50731,2,0,2,0,3,29,8,31492,566,757635,127852,13371,21375,9017,60886,7735,11403,212852,2086,228,20,4745,285,3006,1907,4790,2542,908,2137,3854,0,1168,180,66077,1925,21937,20085,4536,5706,2609,4669,44746,262,6404,133,99463,21101,2948,6261,1773,12642,1722,2152,57547,313,912,358,25461,9467,5382,35588,72269,24262,5928,7395,43631,1655,10662,2089,120746,35765,11336,45738,13795,56441,8276,10001,59004,5335,401,19,13796,3882,2783,24620,17111,4813,38306,7311,46253,2740,0,0,0,0,0,0,0,0,0,0,0,8922,2067,209,69652,41894,13521,58030,45133,58165,35249,29779,162301,2345,423,79,11777,7006,741,4803,2041,4058,644,238,8486,0,119241,6776,2325485,472104,203185,717062,799452,488567,216738,260239,1764770,40203
38000,20000,0,82821,551,0,114,0,144,0,4,14634,0,3,2,563483,4068,68573,0,0,1,0,1,7,2,59062,337,1389082,146623,32479,26719,10146,76225,13807,8749,291452,599,404,7,4326,140,2547,1969,4892,1223,1163,2263,3877,0,2685,184,123234,1747,13264,23419,6656,7740,3720,4317,50454,32,16651,103,155617,27875,6531,8060,2783,24072,3198,2632,95703,100,2361,258,32537,9369,12136,31784,96734,25596,9465,9578,38109,145,16374,1730,136404,26236,9694,43064,20192,70410,11948,13947,57822,2052,1227,17,17998,5157,3575,30880,15637,6229,81066,7062,50887,920,0,0,0,0,0,0,0,0,0,0,0,10083,5579,196,104772,54252,20401,77749,48273,75624,67522,55379,216755,2192,2176,54,14483,9722,777,6968,2298,9224,4896,166,21057,0,235937,5266,3797167,530024,269407,778553,981399,541680,351498,347556,2202799,49684
39000,17514,2,36369,684,0,50,1,6,0,8,12942,0,10,173,12205,3990,4395,1,0,0,0,2,14,1,34201,1883,162664,101958,9738,11693,5198,33311,6296,11798,171609,1221,616,57,1317,222,1564,1082,3462,1182,477,2622,3105,0,1497,1229,17403,1048,13935,7647,1763,1712,1324,3723,26243,110,12060,459,27838,19935,1286,3888,1260,7572,1508,2614,56457,216,1451,916,5028,7207,2875,15743,44325,10323,2575,5746,25851,736,9332,6343,18008,17922,2197,19103,6529,28295,3701,9057,30603,1993,726,280,2801,3631,2048,13431,9919,2463,27163,7825,36453,1464,0,0,0,0,0,0,0,0,0,0,0,5308,3484,1412,16779,48699,18963,33537,29332,29624,20738,33035,106701,1433,1007,411,2469,4364,558,2551,1178,1814,466,283,6328,0,185495,28365,494807,404701,107197,362839,501234,226252,136355,271433,1284614,21277
40000,28168,2,297038,1900,0,416,5,87,0,73,61124,0,8,103,199524,11690,214957,10,4,15,0,19,144,37,61815,2150,5173008,527732,59082,122212,32840,325199,74911,75447,1259217,9794,863,71,17686,1135,14503,11055,24391,14030,6409,10354,24204,0,3353,1105,230086,7445,78141,89125,19620,34259,14673,22193,232503,1006,20757,538,391287,102983,15414,42140,8347,60769,17867,14037,402297,1709,2818,1137,74937,32216,18866,177859,338865,101808,42642,33095,198310,5838,16509,7118,265745,85009,30258,224392,41601,260568,44903,51923,232519,16162,1179,205,47637,15721,13895,142911,62771,26729,328265,43393,311075,12834,0,0,0,0,0,0,0,0,0,0,0,41904,6365,1177,295046,182366,70541,333389,198630,292497,282309,165135,896093,10767,1207,365,29366,25997,3291,26034,9434,18077,5142,1366,47933,0,295837,26799,10143005,1988293,890333,4159975,3661552,2276843,1645359,1339725,9697563,172915
41000,19563.826,0.029,82576.71,365.955,0,45.291,0.74,12.129,0,4.84,8777.978,0,3.25,0.391,14620.285,4713.275,3717.228,0.591,0.184,0.983,0.014,1.478,10.676,2.973,39849.59,213.112,695898.887,95259.429,2738.534,9579.755,4159.486,44330.5,2978.119,6296.027,149703.374,1345.383,538.108,16.598,3837.371,197.855,1018.003,1217.199,4951.689,2074.19,741.058,1673.125,3918.143,0,735.598,56.411,27443.612,606.087,2090.596,4771.985,899.07,2161.719,1256.746,1930.782,19198.243,104.567,10800.835,56.767,90666.247,13321.463,565.913,2983.528,1176.383,10884.084,781.25,1534.5,49389.446,196.466,1258.987,145.702,15826.813,5355.087,869.956,8743.187,43130.892,8558.854,1595.141,3350.261,16291.412,290.92,13880.686,2195.621,50394.952,16447.709,1372.129,24094.773,6377.538,19906.094,3458.996,5504.112,33049.781,1536.212,807.432,12.078,15801.634,2613.335,731.698,11955.264,8801.747,2740.124,35185.765,4060.631,30046.178,1665.473,0,0,0,0,0,0,0,0,0,0,0,8702.011,2649.887,81.88,59655.622,25742.859,2797.156,19018.956,16249.67,49684.19,18808.329,20233.771,148088.673,1271.909,897.7,26.798,7259.724,4338.109,233.668,2568.391,1174.098,2314.21,560.921,148.991,6270.425,0,180902.821,5999.194,1671138.981,338422.967,39009.949,339873.61,502371.529,290810.812,147415.816,227326.642,1335314.221,23524.971
42000,25481,0,118543,751,0,80,2,63,0,15,15159,0,6,3,3462,4632,147451,2,0,1,0,4,33,8,66365,1088,702893,155240,21547,21618,8012,70208,7823,20530,303109,2160,581,48,2629,341,7604,1961,6933,2594,1026,3929,5509,0,2236,312,35809,2115,53615,16781,2816,4482,2402,7176,56399,222,18456,294,100710,30369,8328,7314,1962,15822,2000,4321,100147,377,2225,754,21311,9750,11883,30414,76362,18654,4312,9703,48649,1289,17092,4626,53169,28604,19118,43247,10273,55189,6069,16556,59318,3680,1177,57,11588,5354,7157,25264,14861,4539,44542,13288,47837,2833,0,0,0,0,0,0,0,0,0,0,0,9249,5267,488,64171,60012,38884,59389,38287,64265,34087,53675,195616,2377,1343,114,13564,7071,1825,4606,1605,3785,724,401,10505,0,280529,13884,1836192,572302,511319,676862,885208,453112,213243,445424,2214413,37508
